Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
1 7 -7.9162292 0.0 -40.2838 7.35405 -11.4946 225.358 -1887.31 224.289 -1887.67 0.0 224.289 -1887.67 30.507 -40.2838 -1673.158 8.13871 8.13871
1 8 -7.694538 0.0 -38.456 7.36118 -11.4819 225.358 -1887.31 224.283 -1886.84 0.0 224.283 -1886.84 30.1297 -38.456 -1670.8833 9.87711 9.87711
2 0 -8.116214 0.0 -45.8413 7.21791 -11.2901 225.358 -1887.31 223.213 -1880.69 0.0 223.213 -1880.69 30.1414 -45.8413 -1673.1769 4.93447 4.93447
2 1 -8.077773 0.0 -45.4878 7.22333 -11.2626 225.358 -1887.31 223.302 -1880.71 0.0 223.302 -1880.71 29.9212 -45.4878 -1672.9746 5.32716 5.32716
2 2 -8.015223 0.0 -45.4852 7.21199 -11.153 225.358 -1887.31 223.438 -1879.81 0.0 223.438 -1879.81 29.4985 -45.4852 -1672.3588 5.7804 5.7804
2 3 -7.70089 0.0 -40.4554 7.26495 -11.4721 225.358 -1887.31 223.57 -1882.89 0.0 223.57 -1882.89 29.0284 -40.4554 -1670.7471 6.72372 6.72372
2 4 -7.218444 0.0 -36.9626 7.20829 -11.4651 225.358 -1887.31 223.307 -1880.08 0.0 223.307 -1880.08 38.7469 -36.9626 -1654.9886 20.3272 20.3272
3 0 -8.151691 0.0 -47.881 7.23834 -11.375 225.358 -1887.31 223.407 -1878.47 0.0 223.407 -1878.47 30.49 -47.881 -1672.454 4.1143 4.1143
3 1 -8.151691 0.0 -47.881 7.23834 -11.375 225.358 -1887.31 223.407 -1878.47 0.0 223.407 -1878.47 30.49 -47.881 -1672.454 4.1143 4.1143
3 2 -8.148976 0.0 -47.8444 7.23651 -11.3715 225.358 -1887.31 223.406 -1878.48 0.0 223.406 -1878.48 30.4739 -47.8444 -1672.4445 4.11606 4.11606
3 3 -8.142602 0.0 -47.8088 7.23652 -11.3698 225.358 -1887.31 223.413 -1878.44 0.0 223.413 -1878.44 30.4376 -47.8088 -1672.3982 4.117 4.117
3 4 -7.581659 0.0 -38.7511 7.28611 -11.535 225.358 -1887.31 223.32 -1883.22 0.0 223.32 -1883.22 32.9661 -38.7511 -1665.685 11.6113 11.6113
3 5 -7.581659 0.0 -38.7511 7.28611 -11.535 225.358 -1887.31 223.32 -1883.22 0.0 223.32 -1883.22 32.9661 -38.7511 -1665.685 11.6113 11.6113
3 6 -7.581596 0.0 -38.7818 7.28553 -11.5334 225.358 -1887.31 223.326 -1883.18 0.0 223.326 -1883.18 32.9701 -38.7818 -1665.6656 11.6215 11.6215
3 7 -7.581596 0.0 -38.7818 7.28553 -11.5334 225.358 -1887.31 223.326 -1883.18 0.0 223.326 -1883.18 32.9701 -38.7818 -1665.6656 11.6215 11.6215
4 0 -7.8685994 0.0 -42.6768 7.27006 -11.1149 225.358 -1887.31 223.252 -1881.34 0.0 223.252 -1881.34 29.2397 -42.6768 -1671.5251 4.34993 4.34993
4 1 -7.6797094 0.0 -38.7185 7.24024 -11.4181 225.358 -1887.31 223.704 -1885.42 0.0 223.704 -1885.42 29.7537 -38.7185 -1670.6809 6.2633 6.2633
4 2 -7.757933 0.0 -40.8142 7.3209 -11.032 225.358 -1887.31 223.55 -1882.71 0.0 223.55 -1882.71 29.9921 -40.8142 -1669.982 5.31842 5.31842
4 3 -7.757181 0.0 -40.8987 7.32409 -11.0155 225.358 -1887.31 223.514 -1882.49 0.0 223.514 -1882.49 29.8974 -40.8987 -1669.9773 5.26372 5.26372
4 4 -7.627942 0.0 -40.7237 7.22427 -11.0644 225.358 -1887.31 223.778 -1881.26 0.0 223.778 -1881.26 28.7133 -40.7237 -1669.4924 6.30331 6.30331
4 5 -7.3107896 0.0 -36.7036 7.20674 -11.1032 225.358 -1887.31 223.249 -1881.54 0.0 223.249 -1881.54 31.245 -36.7036 -1663.7496 11.7976 11.7976
4 6 -7.089526 0.0 -34.8902 7.2871 -11.2585 225.358 -1887.31 223.418 -1881.02 0.0 223.418 -1881.02 32.3999 -34.8902 -1660.0924 15.6546 15.6546
5 0 -7.8863 0.0 -43.2192 7.24511 -11.5122 225.358 -1887.31 223.61 -1881.78 0.0 223.61 -1881.78 30.0273 -43.2192 -1671.3619 3.2331 3.2331
5 1 -7.8801208 0.0 -43.1786 7.24316 -11.5081 225.358 -1887.31 223.616 -1881.75 0.0 223.616 -1881.75 29.9729 -43.1786 -1671.3397 3.25023 3.25023
5 2 -7.878311 0.0 -43.2246 7.239 -11.5062 225.358 -1887.31 223.62 -1881.66 0.0 223.62 -1881.66 29.9378 -43.2246 -1671.3268 3.29529 3.29529
5 3 -7.87922 0.0 -43.1986 7.2447 -11.5068 225.358 -1887.31 223.622 -1881.71 0.0 223.622 -1881.71 29.9886 -43.1986 -1671.298 3.25183 3.25183
5 4 -7.874452 0.0 -42.886 7.25214 -11.6123 225.358 -1887.31 223.409 -1881.88 0.0 223.409 -1881.88 30.0866 -42.886 -1671.2705 3.48957 3.48957
5 5 -7.849993 0.0 -42.9643 7.23803 -11.4949 225.358 -1887.31 223.633 -1881.61 0.0 223.633 -1881.61 29.7988 -42.9643 -1671.1426 3.63156 3.63156
6 0 -7.760046 0.0 -40.1887 7.27561 -10.9336 225.358 -1887.31 223.781 -1884.04 0.0 223.781 -1884.04 29.1117 -40.1887 -1671.336 6.35387 6.35387
6 1 -7.748461 0.0 -41.138 7.23357 -11.0772 225.358 -1887.31 223.618 -1882.34 0.0 223.618 -1882.34 30.2556 -41.138 -1669.6044 6.93556 6.93556
6 2 -7.818323 0.0 -42.0499 7.2387 -11.0951 225.358 -1887.31 223.455 -1881.83 0.0 223.455 -1881.83 31.0899 -42.0499 -1669.335 6.87401 6.87401
7 0 -7.857559 0.0 -43.9933 7.25262 -11.0647 225.358 -1887.31 223.911 -1880.12 0.0 223.911 -1880.12 29.1943 -43.9933 -1671.0079 7.4444 7.4444
7 1 -7.6948757 0.0 -39.9305 7.30091 -11.1553 225.358 -1887.31 224.003 -1883.9 0.0 224.003 -1883.9 29.7499 -39.9305 -1670.0775 8.26855 8.26855
7 2 -7.664909 0.0 -39.5354 7.29201 -11.1826 225.358 -1887.31 224.021 -1884.09 0.0 224.021 -1884.09 29.5602 -39.5354 -1670.0442 8.40916 8.40916
7 3 -7.6612344 0.0 -39.684 7.29316 -11.2116 225.358 -1887.31 224.055 -1883.88 0.0 224.055 -1883.88 29.5377 -39.684 -1669.9712 8.48818 8.48818
7 4 -7.6126184 0.0 -38.4371 7.27606 -11.2182 225.358 -1887.31 223.967 -1884.91 0.0 223.967 -1884.91 29.6964 -38.4371 -1669.6837 8.79612 8.79612
7 5 -6.7143164 0.0 -32.825 7.50664 -11.6081 225.358 -1887.31 223.818 -1878.71 0.0 223.818 -1878.71 34.9184 -32.825 -1652.7986 22.2131 22.2131
8 0 -7.8094115 0.0 -42.2983 7.24471 -11.0375 225.358 -1887.31 223.828 -1881.81 0.0 223.828 -1881.81 29.6979 -42.2983 -1670.5824 9.07964 9.07964
8 1 -7.8278117 0.0 -42.469 7.24693 -11.0426 225.358 -1887.31 223.816 -1881.83 0.0 223.816 -1881.83 29.9161 -42.469 -1670.5668 9.10622 9.10622
8 2 -7.7590218 0.0 -41.7548 7.22896 -11.0286 225.358 -1887.31 223.833 -1881.85 0.0 223.833 -1881.85 29.4257 -41.7548 -1670.3461 9.21415 9.21415
8 3 -7.682398 0.0 -41.3876 7.30795 -10.9387 225.358 -1887.31 223.559 -1880.53 0.0 223.559 -1880.53 29.1984 -41.3876 -1669.1603 8.79109 8.79109
8 4 -7.677523 0.0 -41.328 7.3055 -10.9432 225.358 -1887.31 223.565 -1880.56 0.0 223.565 -1880.56 29.1673 -41.328 -1669.1558 8.80204 8.80204
8 5 -7.6282177 0.0 -40.8895 7.27755 -10.9741 225.358 -1887.31 223.535 -1880.46 0.0 223.535 -1880.46 29.0833 -40.8895 -1668.7311 9.13134 9.13134
8 6 -7.7363644 0.0 -43.347 7.4277 -10.7448 225.358 -1887.31 222.89 -1876.97 0.0 222.89 -1876.97 30.1888 -43.347 -1667.2382 8.56013 8.56013
8 7 -7.7363644 0.0 -43.347 7.4277 -10.7448 225.358 -1887.31 222.89 -1876.97 0.0 222.89 -1876.97 30.1888 -43.347 -1667.2382 8.56013 8.56013
8 8 -7.724653 0.0 -42.3982 7.53574 -10.6997 225.358 -1887.31 222.778 -1877.86 0.0 222.778 -1877.86 31.226 -42.3982 -1666.2543 8.02098 8.02098
8 9 -7.724653 0.0 -42.3982 7.53574 -10.6997 225.358 -1887.31 222.778 -1877.86 0.0 222.778 -1877.86 31.226 -42.3982 -1666.2543 8.02098 8.02098
8 10 -7.724653 0.0 -42.3982 7.53574 -10.6997 225.358 -1887.31 222.778 -1877.86 0.0 222.778 -1877.86 31.226 -42.3982 -1666.2543 8.02098 8.02098
8 11 -7.6880283 0.0 -42.6816 7.54459 -10.6788 225.358 -1887.31 222.617 -1876.54 0.0 222.617 -1876.54 31.1623 -42.6816 -1665.4424 7.82982 7.82982
8 12 -7.6880283 0.0 -42.6816 7.54459 -10.6788 225.358 -1887.31 222.617 -1876.54 0.0 222.617 -1876.54 31.1623 -42.6816 -1665.4424 7.82982 7.82982
8 13 -7.6880283 0.0 -42.6816 7.54459 -10.6788 225.358 -1887.31 222.617 -1876.54 0.0 222.617 -1876.54 31.1623 -42.6816 -1665.4424 7.82982 7.82982
9 0 -7.6576076 0.0 -40.3043 7.19777 -10.9921 225.358 -1887.31 223.544 -1882.0 0.0 223.544 -1882.0 28.3403 -40.3043 -1670.4199 7.3195 7.3195
9 1 -7.6150203 0.0 -40.1063 7.19608 -10.9951 225.358 -1887.31 223.495 -1881.54 0.0 223.495 -1881.54 28.285 -40.1063 -1669.8663 7.51046 7.51046
10 0 -7.7559123 0.0 -43.2782 7.1803 -11.3967 225.358 -1887.31 224.462 -1880.86 0.0 224.462 -1880.86 29.584 -43.2782 -1670.0922 8.68476 8.68476
10 1 -7.7559123 0.0 -43.2782 7.1803 -11.3967 225.358 -1887.31 224.462 -1880.86 0.0 224.462 -1880.86 29.584 -43.2782 -1670.0922 8.68476 8.68476
