Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
3 4 -6.9432774 0.0 -31.5206 10.8621 -37.0515 225.358 -1887.31 226.526 -1908.91 0.0 226.526 -1908.91 83.1871 -31.5206 -1630.7175 52.9849 52.9849
3 5 -6.9432774 0.0 -31.5206 10.8621 -37.0515 225.358 -1887.31 226.526 -1908.91 0.0 226.526 -1908.91 83.1871 -31.5206 -1630.7175 52.9849 52.9849
3 6 -6.921664 0.0 -31.5901 10.8642 -36.9692 225.358 -1887.31 226.627 -1908.52 0.0 226.627 -1908.52 83.089 -31.5901 -1630.3942 53.2367 53.2367
3 7 -6.8878284 0.0 -31.6518 10.8645 -36.7894 225.358 -1887.31 226.736 -1907.86 0.0 226.736 -1907.86 82.9232 -31.6518 -1629.8527 53.6377 53.6377
3 8 -6.6861243 0.0 -26.7375 10.853 -37.368 225.358 -1887.31 226.434 -1912.29 0.0 226.434 -1912.29 83.4205 -26.7375 -1629.1731 55.2402 55.2402
3 9 -6.6553187 0.0 -25.7611 10.8592 -37.258 225.358 -1887.31 226.294 -1912.96 0.0 226.294 -1912.96 83.4813 -25.7611 -1628.9458 55.4936 55.4936
3 10 -6.65238 0.0 -26.1766 10.8542 -37.3073 225.358 -1887.31 226.322 -1912.37 0.0 226.322 -1912.37 83.4633 -26.1766 -1628.7612 55.8763 55.8763
4 0 -6.5908866 0.0 -20.1296 10.7635 -36.9865 225.358 -1887.31 225.551 -1919.34 0.0 225.551 -1919.34 83.0178 -20.1296 -1630.9008 54.7644 54.7644
4 1 -6.5908866 0.0 -20.1296 10.7635 -36.9865 225.358 -1887.31 225.551 -1919.34 0.0 225.551 -1919.34 83.0178 -20.1296 -1630.9008 54.7644 54.7644
4 2 -6.5908866 0.0 -20.1296 10.7635 -36.9865 225.358 -1887.31 225.551 -1919.34 0.0 225.551 -1919.34 83.0178 -20.1296 -1630.9008 54.7644 54.7644
4 3 -6.537425 0.0 -18.9601 10.7699 -36.8593 225.358 -1887.31 225.527 -1920.1 0.0 225.527 -1920.1 82.9746 -18.9601 -1630.5585 55.0939 55.0939
4 4 -6.537425 0.0 -18.9601 10.7699 -36.8593 225.358 -1887.31 225.527 -1920.1 0.0 225.527 -1920.1 82.9746 -18.9601 -1630.5585 55.0939 55.0939
4 5 -6.537425 0.0 -18.9601 10.7699 -36.8593 225.358 -1887.31 225.527 -1920.1 0.0 225.527 -1920.1 82.9746 -18.9601 -1630.5585 55.0939 55.0939
4 6 -6.537425 0.0 -18.9601 10.7699 -36.8593 225.358 -1887.31 225.527 -1920.1 0.0 225.527 -1920.1 82.9746 -18.9601 -1630.5585 55.0939 55.0939
4 7 -6.4637837 0.0 -17.607 10.7616 -36.9088 225.358 -1887.31 225.546 -1921.08 0.0 225.546 -1921.08 83.0231 -17.607 -1630.1178 55.3215 55.3215
5 0 -8.496589 0.0 -63.896 10.8571 -38.4132 225.358 -1887.31 223.171 -1880.43 0.0 223.171 -1880.43 90.3216 -63.896 -1630.8334 47.2257 47.2257
5 1 -8.506613 0.0 -64.2792 10.861 -38.5099 225.358 -1887.31 223.189 -1880.12 0.0 223.189 -1880.12 90.3968 -64.2792 -1630.8135 46.9599 46.9599
5 2 -8.4975605 0.0 -64.1542 10.8551 -38.4004 225.358 -1887.31 223.147 -1880.0 0.0 223.147 -1880.0 90.4651 -64.1542 -1630.5421 47.5914 47.5914
5 3 -8.190819 0.0 -60.9914 10.9652 -36.9892 225.358 -1887.31 223.247 -1878.45 0.0 223.247 -1878.45 86.5662 -60.9914 -1629.6282 47.7428 47.7428
5 4 -8.190819 0.0 -60.9914 10.9652 -36.9892 225.358 -1887.31 223.247 -1878.45 0.0 223.247 -1878.45 86.5662 -60.9914 -1629.6282 47.7428 47.7428
5 5 -8.158055 0.0 -60.2922 10.9683 -36.8365 225.358 -1887.31 223.313 -1878.94 0.0 223.313 -1878.94 86.5267 -60.2922 -1629.3925 48.1489 48.1489
