Entry	Taxonomic lineage IDs	Gene names
P14270	10116	Pde4d
Q8QZV1	10116	Pde9a
Q9EQT1	10116	Pdgfd Iegf Scdgfb
Q63065	10116	Pdk1 Pdh
Q64294	10116	Pdpn
Q63373	10116	Nrxn1
O35987	10116	Nsfl1c
P70582	10116	Nup54
Q63475	10116	Ptprn2
P00481	10116	Otc
O08617	10116	Ptprr Ptp
P49653	10116	P2rx2
Q64663	10116	P2rx7
Q99M64	10116	Pi4k2a Pi4kii
P17955	10116	Nup62
P35433	10116	Ppat
P04055	10116	Pla2g1b
P51433	10116	Pla2g5
Q920Q0	10116	Palm
P59996	10116	Pcsk9 Narc1
Q9QYJ6	10116	Pde10a
Q8VID6	10116	Pde11a
Q9JID1	10116	Pdcd4 Dug
G3V7W1	10116	Pdcd6 Alg2
Q63421	10116	Pde1c
Q01062	10116	Pde2a
O54735	10116	Pde5a Pde5
Q07310	10116	Nrxn3
Q566C7	10116	Nudt3 Dipp Dipp1
P41499	10116	Ptpn11
B0K011	10116	Osr1 Odd1
P35234	10116	Ptpn5
P04640	10116	Bglap Bglap2
Q64604	10116	Ptprf Lar
P04218	10116	Cd200 Mox2
P70536	10116	Oxtr Otr
Q9QUL6	10116	Nsf Erg1
P49793	10116	Nup98
P11466	10116	Crot Cot
Q9JKS6	10116	Pclo
Q63415	10116	Pcsk6 Pace4
Q78EH2	10116	Pcsk4 Nec-3 Nec3
P19836	10116	Pcyt1a Ctpct Pcyt1
P14646	10116	Pde4b
Q62865	10116	Pde3a
Q05028	10116	Pdgfb
Q9EQX6	10116	Pdgfc Scdgf
P28576	10116	Pdgfa Rpa1
O55173	10116	Pdpk1 Pdk1
Q63645	10116	F2rl1 Par2
O88767	10116	Park7 Cap1
Q9HB97	10116	Parva Actp
Q1HAQ0	10116	Lpcat1 Aytl2
D3ZE55	10116	Pcdh8
O35567	10116	Atic Purh
P63055	10116	Pcp4 Pep19
P41413	10116	Pcsk5
Q01066	10116	Pde1b Pde1b1
P54748	10116	Pde4a
Q63085	10116	Pde3b
P04785	10116	P4hb Pdia1
Q64536	10116	Pdk2
Q62920	10116	Pdlim5 Enh
O54937	10116	Pdk4
P52947	10116	Pdx1 Ipf1
Q5XI78	10116	Ogdh Ogdhl
P46002	10116	Ptafr
Q00438	10116	Ptbp1 Ptb Pybp Tbfii
Q9ERC1	10116	Myo16 Myr8 Nyap3
P20428	10116	Myog
P60203	10116	Plp1 Plp
P48768	10116	Slc8a2 Ncx2
Q9JIL9	10116	Nbn Nbs1
P34975	10116	Oprk1 Ror-d
Q8R5M4	10116	Optn
P60570	10116	Panx1 Px1
Q62838	10116	Musk
Q9JLT0	10116	Myh10
Q62774	10116	Myo1a Bbmi Myhl
P42346	10116	Mtor Frap1 Raft1
P51489	10116	Rho
Q6AXQ4	10116	Mtm1
Q8VIJ5	10116	Oga Hexc Mea5 Mgea5
Q63661	10116	Muc4 Smc
Q01986	10116	Map2k1 Mek1 Prkmk1
P33533	10116	Oprd1 Ror-a
P62775	10116	Mtpn Gcdp
P49287	10116	Mtnr1b Mt2
P56558	10116	Ogt
P02761	10116	
O70156	10116	Olr1 Lox1 Oldlr1
Q2TA68	10116	Opa1
P0CAX5	10116	Ophn1
P53987	10116	Slc16a1 Mct1
P36506	10116	Map2k2 Mek2 Mkk2 Prkmk2
Q9JIM0	10116	Mre11 Mre11a
Q63120	10116	Abcc2 Cmoat Cmrp Mrp2
P02631	10116	Ocm
P33535	10116	Oprm1 Ror-b
P35370	10116	Oprl1 Oor Oprl
P15146	10116	Map2 Mtap2
P70569	10116	Myo5b
Q8CHI5	10116	Per1
Q01728	10116	Slc8a1 Ncx1
P37361	10116	Mt3
O70249	10116	Ogg1 Mmh Ogh1
P28494	10116	Man2a1 Mana2
P07722	10116	Mag
P01179	10116	Oxt Ot
P01186	10116	Avp
Q9Z1P3	10116	Mcl1
P24528	10116	Mgmt
P49187	10116	Mapk10 Jnk3 Prkm10
Q9R1S9	10116	Mdk
P52164	10116	Max
P19999	10116	Mbl1
P08661	10116	Mbl2
P08494	10116	Mgp
Q63538	10116	Mapk12 Sapk3
P27704	10116	Mapk6 Erk3 Prkm6
Q9Z2A6	10116	Mapk15 Erk7 Erk8
Q99PV3	10116	Mkln1 Msk
P49186	10116	Mapk9 Jnk2 Prkm9
O35763	10116	Msn
Q63344	10116	Slc16a7 Mct2
O54874	10116	Cdc42bpa Pk428
Q7TT49	10116	Cdc42bpb
O88563	10116	Abcc3 Cmoat2 Mlp2 Mrp3
Q01205	10116	Dlst
P14200	10116	Pmch Mch
P61972	10116	Nutf2 Ntf2
P18280	10116	Ntf3 Ntf-3
P34131	10116	Ntf4 Nt4 Ntf5
P20789	10116	Ntsr1 Ntsr
Q62718	10116	Ntm Hnt Nt
P35739	10116	Ntrk1 Trk Trka
Q63604	10116	Ntrk2 Trkb
Q03351	10116	Ntrk3 Trkc
P49791	10116	Nup153
P63086	10116	Mapk1 Erk2 Mapk Prkm1
P70618	10116	Mapk14 Csbp1 Csbp2
P0C865	10116	Mapk7 Bmk1 Erk5
P02563	10116	Myh6
P17982	10116	Art2a Rt6 Rt6-a
Q66HA1	10116	Map3k11 Mlk3
P57097	10116	Mertk Mer
P21708	10116	Mapk3 Erk1 Prkm3
P49185	10116	Mapk8 Jnk1 Prkm8
P0C152	10116	Tmem67 Mks3 Wpk
Q62925	10116	Map3k1 Mekk Mekk1
O08873	10116	Madd
Q9ES73	10116	Maged1 Nrage
P11915	10116	Scp2 Scp-2
Q9R1M7	10116	Grin3a
Q8VHN2	10116	Grin3b
Q00959	10116	Grin2a
Q00960	10116	Grin2b
Q00961	10116	Grin2c
Q62645	10116	Grin2d GluN2D
P35439	10116	Grin1 Nmdar1
P12760	10116	Nmu
Q4KSH7	10116	Map2k7
Q9ES58	10116	Cd200r1 Mox2r Ox2r
Q62862	10116	Map2k5 Mek5 Mkk5 Prkmk5
P08461	10116	Dlat
Q9WV87	10116	Nox1 Mox1 Noh1
Q9R044	10116	Nphs1 Nphn
Q9JJ09	10116	Slc34a2
P70503	10116	Nr0b1 Ahch Dax1
Q8K5A9	10116	Nradd Nrh2 Plaidd
Q63504	10116	Nr1d2
Q3KR51	10116	Nsg2
P58195	10116	Plscr1
P13084	10116	Npm1
O35764	10116	Nptxr Npr
P05982	10116	Nqo1 Nmor1
P07808	10116	Npy
Q9R1A7	10116	Nr1i2 Pxr
P97686	10116	Nrcam
O35276	10116	Nrp2
Q63372	10116	Nrxn1
Q63374	10116	Nrxn2
Q9EPI6	10116	Nsmf Jac Nelf
Q6AXS0	10116	Slc8b1 Nckx6 Nclx Slc24a6
O54968	10116	Nfe2l2 Nrf2
P23441	10116	Nkx2-1 Nkx-2.1 Titf1 Ttf-1 Ttf1
Q62889	10116	Nlgn3
Q9R011	10116	Plk3 Cnk Fnk
Q62881	10116	Nol3 Arc
P29476	10116	Nos1 Bnos
Q62600	10116	Nos3
Q9ET64	10116	Smpd2
Q62940	10116	Nedd4 Nedd4a
Q6TMG5	10116	Ikbkg Nemo
O08874	10116	Pkn2 Pak2 Prk2 Prkcl2
P07936	10116	Gap43
Q99PW3	10116	Neu1
Q8VD52	10116	Pdxp Cin Plp Plpp Rbp1
Q06518	10116	Nos2
P97546	10116	Nptn Sdfr1 Sdr1
P47971	10116	Nptx1
Q63634	10116	Npy5r Npyr5
P21555	10116	Npy1r
Q62685	10116	Nr1h3 Lxra
O35867	10116	Ppp1r9a
Q62918	10116	Nell2 Nel
P25427	10116	Ngf Ngfb
P14600	10116	Tacr1 Tac1r
Q07008	10116	Notch1
Q06496	10116	Slc34a1 Slc17a2
Q8K4R8	10116	Slc34a3
Q63433	10116	Pkn1 Pkn Prk1 Prkcl1
Q04940	10116	Nrgn
O35762	10116	Nkx6-1 Nkx6.1 Nkx6a
Q9ES54	10116	Nploc4 Npl4
Q9QWM1	10116	Nr5a2
P97947	10116	Nr0b2 Shp
Q63503	10116	Nr1d1
O54902	10116	Slc11a2 Dct1 Dmt1 Nramp2
A7E3N2	10116	Ncf2
P12839	10116	Nefm Nef3 Nfm
Q62673	10116	Plk1 Plk
Q9QW30	10116	Notch2
Q78PB6	10116	Ndel1 Nude2 Nudel
P20068	10116	Nts
Q62755	10116	Nr1h2 Lxrb
P22829	10116	Nr4a1 Hmr Ngfib
Q07917	10116	Nr4a2 Hzf-3 Nurr1 Rnr1
O35049	10116	Smpd3 Cca1
Q62609	10116	Olfm1 D2Sut1e Noe1 Noel Noel1
Q62809	10116	Nog
P97570	10116	Pla2g6 Pnpla9
Q62735	10116	Nr1h4 Bar Fxr Rip14
P51179	10116	Nr4a3 Nor1
Q9QWJ9	10116	Nrp1
P02683	10116	Nsg1 Bsmrb
Q66HE5	10116	Nuak2
P70581	10116	Nup58 Nupl1
P20070	10116	Cyb5r3 Dia1
Q9JMC1	10116	Inpp5j Pib5pa Pipp
O55012	10116	Picalm Calm
P28841	10116	Pcsk2 Nec-2 Nec2 Rpc2
P30427	10116	Plec Plec1
P16610	10116	Tacr2 Tac2r
P16177	10116	Tacr3 Tac3r
P06765	10116	Pf4 Cxcl4 Scyb4
P41777	10116	Nolc1
Q9R172	10116	Notch3
P0C8E4	10116	Map3k7
P13697	10116	Me1 Mod-1 Mod1
P34926	10116	Map1a Mtap1a
P22234	9606	PAICS ADE2 AIRC PAIS
Q8K4K6	10090	Pank1 Pank
Q6QHF9	9606	PAOX PAO UNQ1923/PRO4398
Q60967	10090	Papss1 Asapk Atpsk1 Papss
Q5U2Q4	10116	Parp16 Artd15
Q9DCU0	10090	Paqr5 Mprg
Q86WK9	9606	PAQR7 MRPA
Q8TEZ7	9606	PAQR8 C6orf33 LMPB1 MPRB
Q8IY49	9606	MMD2 PAQR10
P09084	10090	Pax1 Pax-1
O88554	10090	Parp2 Adprt2 Adprtl2 Aspartl2
Q9NR21	9606	PARP11 C12orf6
Q86TB9	9606	PATL1 OK/KNS-cl.5
B5DF93	10116	Patl1
Q2NL67	9606	PARP6
O00254	9606	F2RL2 PAR3
Q3UD82	10090	Parp8 D13Ertd275e
O88634	10090	F2rl3 Par4
Q5XJY4	10090	Parl Psarl
O35317	10090	Pbx3
Q9DCG6	10090	Pbld1 Mawbp2 Pbld
Q9CXN7	10090	Pbld2 Mawbp1
Q96QU1	9606	PCDH15 USH1F
Q9UN66	9606	PCDHB8 PCDH3I
Q91XZ2	10090	Pcdhb8
Q96JQ0	9606	DCHS1 CDH19 CDH25 FIB1 KIAA1773 PCDH16
O14917	9606	PCDH17 PCDH68 PCH68
Q9HCL0	9606	PCDH18 KIAA1562
Q6PB90	10090	Pcdhb14
Q9Y5G0	9606	PCDHGB5
Q9Y5F8	9606	PCDHGB7
Q9Y5I4	9606	PCDHAC2
Q9Y5F6	9606	PCDHGC5
Q9Y5H4	9606	PCDHGA1
Q9Y5G5	9606	PCDHGA8 KIAA0327
Q5EBA8	10116	Slc46a1 Hcp1 Pcft
O94913	9606	PCF11 KIAA0824
P35227	9606	PCGF2 MEL18 RNF110 ZNF144
Q8BTQ0	10090	PcgF3 Rnf3 Rnf3a
Q5XI70	10116	Pcgf6 Rnf134
Q7Z2X4	9606	PID1 NYGGF4 PCLI1 HMFN2073
Q6P8I4	10090	Pcnp
P63054	10090	Pcp4 Pep19
P42785	9606	PRCP PCP
Q16549	9606	PCSK7 LPC PC7 PC8 SPC7
Q62849	10116	Pcsk7 Pc7
Q9UHG2	9606	PCSK1N
Q9QXV0	10090	Pcsk1n
Q6UW60	9606	PCSK4 PC4 UNQ2757/PRO6496
Q04592	10090	Pcsk5
P29122	9606	PCSK6 PACE4
Q9D5U0	10090	Lpcat2b Aytl1b
Q4V8A1	10116	Lpcat2b Aytl1b
Q9Y5K3	9606	PCYT1B CCTB
Q9QYC1	10090	Pcnx1 Kiaa0805 Pcnx Pcnxl1
E9PSU6	10116	Pcnx1 Pcnx
Q9H6A9	9606	PCNX3 PCNXL3
Q63HM2	9606	PCNX4 C14orf135 FBP2 PCNXL4
P70263	10090	Ptgdr
Q9R261	10116	Ptgdr
Q6NX65	10116	Pdcd10
Q9BRP1	9606	PDCD2L
Q15116	9606	PDCD1 PD1
Q02242	10090	Pdcd1 Pd1
Q16342	9606	PDCD2 RP8 ZMYND7
P46718	10090	Pdcd2 Rp8
P30520	9606	ADSS ADSS2
P46664	10090	Adss Adss2
O08593	10116	Pde7a
P27815	9606	PDE4A DPDE2
P27664	10090	Pde6a Mpa Pdea
P35913	9606	PDE6B PDEB
P23440	10090	Pde6b Mpb Pdeb rd
P51160	9606	PDE6C PDEA2
Q925I7	10090	Pdgfd Scdgfb
O55057	10090	Pde6d
Q63081	10116	Pdia6 Cabp1 Txndc7
Q5XI02	10116	Pdilt
P20033	10090	Pdgfa
P27773	10090	Pdia3 Erp Erp60 Grp58
Q8N165	9606	PDIK1L CLIK1L
Q8QZR7	10090	Pdik1l
Q15118	9606	PDK1 PDHK1
Q8BFP9	10090	Pdk1
Q53GG5	9606	PDLIM3 ALP
Q15120	9606	PDK3 PDHK3
O15530	9606	PDPK1 PDK1
Q9Z2A0	10090	Pdpk1 Pdk1
Q9NR12	9606	PDLIM7 ENIGMA
O00151	9606	PDLIM1 CLIM1 CLP36
Q8NCN5	9606	PDPR KIAA1990
Q9P0J1	9606	PDP1 PDP PPM2C
Q3UV70	10090	Pdp1 Ppm2c
Q6P996	9606	PDXDC1 KIAA0251
Q99K01	10090	Pdxdc1
Q8WV22	9606	NSMCE1 HSPC333 HSPC337
Q499U6	10116	Nsmce1
Q8C5P5	10090	Nt5dc1 Nt5c2l1
Q5PT55	9606	SLC10A5
Q9UNZ2	9606	NSFL1C UBXN2C
Q5PT53	10090	Slc10a7 P7
Q63ZY6	9606	NSUN5P2 NSUN5C WBSCR20B WBSCR20C
P26435	10116	Slc10a1 Ntcp
Q9Y5A7	9606	NUB1 NYREN18
O08587	10116	Nup50 Npap60
Q9BW27	9606	NUP85 NUP75 PCNT1
Q8R480	10090	Nup85 Pcnt1
Q99567	9606	NUP88
P50136	10090	Bckdha
Q9D611	10090	Ocstamp
Q60597	10090	Ogdh Kiaa4192
Q9ULJ1	9606	ODF2L BCAP KIAA1229
P21769	10116	Odf1 Odf27 Odfp Rt7
Q5BJF6	9606	ODF2
P11182	9606	DBT BCATE2
A2A8Z1	10090	Osbpl9 Orp9
P22059	9606	OSBP OSBP1
Q9BXB4	9606	OSBPL11 ORP11 OSBP12
Q5QNQ6	10090	Osbp2
Q4QQS3	10116	Oscp1
Q9NX31	9606	OSER1 C20orf111 BM-038 HSPC168 HSPC207
Q91XL9	10090	Osbpl1a Orp1 Orp1a Orp1l
Q8K4M9	10116	Osbpl1a Orp1
Q9H1P3	9606	OSBPL2 KIAA0772 ORP2
Q9H4L5	9606	OSBPL3 KIAA0704 ORP3 OSBP3
Q9DBS9	10090	Osbpl3 Orp3
Q12923	9606	PTPN13 PNP1 PTP1E PTPL1
Q64512	10090	Ptpn13 Ptp14
Q15678	9606	PTPN14 PEZ PTPD2
Q9BZF2	9606	OSBPL7 ORP7
Q9BZF1	9606	OSBPL8 KIAA1451 ORP8 OSBP10
B9EJ86	10090	Osbpl8 Kiaa1451 Orp8
P18031	9606	PTPN1 PTP1B
P35821	10090	Ptpn1
O55082	10090	Ptpn20 Typ
Q9Y2R2	9606	PTPN22 PTPN8
Q9H3S7	9606	PTPN23 KIAA1471
Q6PB44	10090	Ptpn23 Kiaa1471
P17706	9606	PTPN2 PTPT
Q6AY34	10116	Osr2
P26045	9606	PTPN3 PTPH1
Q9WU22	10090	Ptpn4
Q86UW1	9606	SLC51A OSTA
Q8R000	10090	Slc51a Osta
P54830	10090	Ptpn5
Q86UW2	9606	SLC51B OSTB
P29350	9606	PTPN6 HCP PTP1C
O54734	10090	Ddost
A2A3K4	9606	PTPDC1 PTP9Q22
Q66GT5	10090	Ptpmt1 Plip
Q92932	9606	PTPRN2 KIAA0387
P80560	10090	Ptprn2
P18433	9606	PTPRA PTPA PTPRL2
Q03348	10116	Ptpra Lrp
P23467	9606	PTPRB PTPB
P08575	9606	PTPRC CD45
P49446	10090	Ptpre Ptpe
P10586	9606	PTPRF LAR
Q05909	10090	Ptprg
Q9HD43	9606	PTPRH SAP1
P28827	9606	PTPRM PTPRL1
Q60673	10090	Ptprn Ptp35
Q9ESF1	10090	Otof Fer1l2
P0C5E4	10090	Ptprq
O88488	10116	Ptprq Ptpgmc1
Q7RTM1	9606	OTOP1
Q80SX5	10090	Otop2
Q8NHW6	9606	OTOS OTOSP
Q8R448	10090	Otos Ocp10
Q8K560	10116	Otos
Q92729	9606	PTPRU FMI PCP2 PTPRO
Q64612	10116	Ptprv Esp
P80206	10090	Otx2 Otx-2
B9EKR1	10090	Ptprz1
Q8TE49	9606	OTUD7A C15orf16 CEZANNE2 OTUD7
Q3UU35	10090	Ovos
Q9R1Z7	10090	Pts
Q7M761	10090	Ovch2 Ovtn
P56718	10116	Hcrtr1
P83859	9606	QRFP
Q8CE23	10090	Qrfp
P83860	10116	Qrfp P518
B1AZ99	10090	Otud3
P41217	9606	CD200 MOX1 MOX2 My033
Q3U2S4	10090	Otud5 DXImx46e Sfc7
Q2YDU3	10116	Otud5
D3YYM0	10090	Ovol3
P56719	10116	Hcrtr2
Q96RQ9	9606	IL4I1 FIG1 UNQ636/PRO1265
Q8TDS5	9606	OXER1 GPR170 TG1019
Q9CR10	10090	Oxld1
P97926	10090	Oxtr
A6NNC1	9606	
Q99LH2	10090	Ptdss1 Pssa
Q8IYS1	9606	PM20D2 ACY1L2
A3KG59	10090	Pm20d2 Acy1l2 Gm424
Q9Z1X2	10090	Ptdss2 Pss2
B2GV22	10116	Ptdss2
Q9CQJ7	10090	Pttg1 Pttg
P53801	9606	PTTG1IP C21orf1 C21orf3
Q9Z176	10090	Ppp2r3d Ppp2r3a Ppp2r6
Q8K3P1	10090	P2rx2 P2x2
O00398	9606	P2RY10
Q969Q6	9606	PPP2R3C C14orf10 G5PR
Q6AXZ3	10116	Ppp2r3c
Q15391	9606	P2RY14 GPR105 KIAA0001
O35881	10116	P2ry14 Gpr105
O00443	9606	PIK3C2A
Q61194	10090	Pik3c2a Cpk
Q96A73	9606	KIAA1191 P33MONOX
Q9DBN4	10090	P33monox Kiaa1191
Q9JJS7	10090	P2ry4 P2y4r
O35811	10116	P2ry4 P2y4
Q4KLM6	10116	P3h2 Leprel1
Q7TMJ8	10090	Pik3ip1 Crkd Hgfl
P21129	10090	Slc10a3 P3
Q2TBE6	10090	Pi4k2a
P13674	9606	P4HA1 P4HA
P54001	10116	P4ha1 P4ha
Q8CBQ5	10090	Pi4k2b
Q5XIL2	10116	Pi4k2b
Q60716	10090	P4ha2
Q7Z4N8	9606	P4HA3 UNQ711/PRO1374
P04637	9606	TP53 P53
Q9UHX1	9606	PUF60 FIR ROBPI SIAHBP1
Q06416	9606	POU5F1B OCT4PG1 OTF3C OTF3P1 POU5F1P1 POU5FLC20 POU5FLC8
O14683	9606	TP53I11 PIG11
Q14671	9606	PUM1 KIAA0099 PUMH1
Q80U78	10090	Pum1 Kiaa0099
Q64143	10090	Pik3r3
Q63789	10116	Pik3r3
Q8CHY6	10090	Gatad2a
P32322	9606	PYCR1
Q922W5	10090	Pycr1
Q922Q4	10090	Pycr2
P68402	9606	PAFAH1B2 PAFAHB
O35264	10116	Pafah1b2 Pafahb
Q15102	9606	PAFAH1B3 PAFAHG
O08908	10090	Pik3r2
Q02819	10090	Nucb1 Nuc Nucb
P47712	9606	PLA2G4A CPLA2 PLA2G4
Q9UP65	9606	PLA2G4C
Q8R3U1	10090	Pla2g16 H-rev107 Hrasls3 Hrev107
Q6AYD3	10116	Pa2g4
P97391	10090	Pla2g5
P39878	10116	Pla2g2c
Q9NZK7	9606	PLA2G2E
Q9QUL3	10090	Pla2g2e
Q9BZM2	9606	PLA2G2F
Q9QZT4	10090	Pla2g2f
O15496	9606	PLA2G10
P0CB38	9606	PABPC4L
Q3V3Q7	10090	Pacs2 Kiaa0602 Pacs1l
Q8K2T8	10090	Paf1
Q4V886	10116	Paf1
P83006	10116	Pafah2
Q8VEB4	10090	Pla2g15 Lypla3
Q4KM62	10116	Palmd
Q8BGF7	10090	Pan2 Kiaa0710 Usp52
Q6IE70	10116	Pan2 Usp52
Q9BXP8	9606	PAPPA2 PLAC3
O95340	9606	PAPSS2 ATPSK2
Q86W56	9606	PARG
Q9QYM2	10116	Parg
Q6TCG8	10090	Paqr3
P15863	9606	PAX1 HUP48
Q15546	9606	MMD PAQR11
Q9CQY7	10090	Mmd Paqr11
Q53GL7	9606	PARP10
Q02962	9606	PAX2
P55086	10090	F2rl1 Gpcr11 Gpr11 Par2
Q9BUH6	9606	PAXX C9orf142 XLS
Q96RI0	9606	F2RL3 PAR4
Q9NPB6	9606	PARD6A PAR6A
P26367	9606	PAX6 AN2
Q6UWI2	9606	PARM1 UNQ1879/PRO4322
P47242	10090	Pax9 Pax-9
Q99NE9	10090	Pbx4
P57722	10090	Pcbp3
O55134	10090	Pcdh12
A6NGG8	9606	PCARE C2orf71
Q6PAC4	10090	Pcare
Q99PJ1	10090	Pcdh15
Q3TFD2	10090	Lpcat1 Aytl2
D4ACX8	10116	Dchs1
P41778	10090	Pbx1 Pbx-1
O60330	9606	PCDHGA12 CDH21 FIB3 KIAA0588 UNQ371/PRO707
Q8BYI6	10090	Lpcat2 Aytl1 Aytl1a Lpcat2a
O35984	10090	Pbx2
P05166	9606	PCCB
Q9UN70	9606	PCDHGC3 PCDH2
Q9Y5H9	9606	PCDHA2
Q63418	10116	Pcdh3
O95206	9606	PCDH8
Q9Y5G8	9606	PCDHGA5
Q96NT5	9606	SLC46A1 HCP1 PCFT
A9Q751	10090	Cfap221 Gm101 Pcdp1
Q9Y5G4	9606	PCDHGA9
Q9Y5H6	9606	PCDHA8
Q9Y5H5	9606	PCDHA9 KIAA0345
Q91Y11	10090	Pcdha9
Q9BSM1	9606	PCGF1 NSPC1 RNF68
Q6DLV9	10116	Pcgf1 Nspc1
Q3UK78	10090	Pcgf5 Rnf159
Q9BYE7	9606	PCGF6 MBLR RNF134
Q15645	9606	TRIP13 PCH2
Q9Y6V0	9606	PCLO ACZ KIAA0559
P12004	9606	PCNA
P48539	9606	PCP4 PEP19
Q15113	9606	PCOLCE PCPE1
Q58A44	9606	PCOTH C1QTNF9B-AS1
P29121	10090	Pcsk4 Nec-3 Nec3
Q92824	9606	PCSK5 PC5 PC6
P49585	9606	PCYT1A CTPCT PCYT1
P49586	10090	Pcyt1a Ctpct Pcyt1
Q96RV3	9606	PCNX1 KIAA0805 KIAA0995 PCNX PCNXL1
Q99447	9606	PCYT2
O88637	10116	Pcyt2
Q9Z2J6	10090	Ptgdr2 Crth2
O35932	10116	Ptgdrl Ptgdr2
Q9BUL8	9606	PDCD10 CCM3 TFAR15
Q9WU78	10090	Pdcd6ip Aip1 Alix
Q9Y233	9606	PDE10A
P47816	10116	Pdcd2 Rp8
P0C1Q2	10090	Pde11a
Q3TIU4	10090	Pde12
Q61481	10090	Pde1a
Q8N8D1	9606	PDCD7
Q14123	9606	PDE1C
Q64338	10090	Pde1c
Q8BVF2	10090	Pdcl3 Viaf1
P28650	10090	Adssl1 Adss1
O00408	9606	PDE2A
P14644	10116	Pde4c Dpde1
Q14432	9606	PDE3A
Q9Z0X4	10090	Pde3a
Q13946	9606	PDE7A
Q9NP56	9606	PDE7B
O88502	10090	Pde8a Pde8
Q96L73	9606	NSD1 ARA267 KMT3B
Q5NCR9	10090	Nsrp1 Ccdc55 Nsrp70
Q99NF2	10090	Nsmf Jac Nelf
Q14973	9606	SLC10A1 NTCP GIG29
Q9CWD8	10090	Nubpl
Q9R061	10090	Nubp2
Q6P9U1	10116	Nudt22
O35685	10090	Nudc
Q9JI46	10090	Nudt3 Dipp Dipp1
Q8BG93	10090	Nudt15 Mth2
Q9JKX6	10090	Nudt5
O08600	10090	Endog
E9Q7G0	10090	Numa1
Q9BW91	9606	NUDT9 NUDT10 PSEC0099 UNQ3012/PRO9771
P18420	10116	Psma1
Q99P69	10090	Nuf2 Cdca1 Nuf2r
P49722	10090	Psma2 Lmpc3
P21670	10116	Psma4
P60900	9606	PSMA6 PROS27
P60901	10116	Psma6
O08658	10116	Nup88 Nup84
Q6IF63	9606	OR52W1 OR52W1P
Q9BZK8	9606	OCR1
Q01968	9606	OCRL INPP5F OCRL1
P12694	9606	BCKDHA
Q9BR26	9606	OCSTAMP C20orf123
Q6P3A8	10090	Bckdhb
Q99JD3	10116	Slc25a21 Odc
Q920N1	10090	Odf3 Shippo1 Beta390
Q13438	9606	OS9
Q5RKH6	10116	Os9
Q96SU4	9606	OSBPL9 ORP9 OSBP4
P20962	9606	PTMS
Q9D0J8	10090	Ptms
P04550	10116	Ptms Znbp
Q3B7Z2	10090	Osbp Kiaa4220
S4R1M9	10090	Osbpl10 Orp10
Q8IYS5	9606	OSCAR
Q9BXW6	9606	OSBPL1A ORP1 OSBP8 OSBPL1 OSBPL1B
P35831	10090	Ptpn12
Q9ER64	10090	Osbpl5 Obph1 Osbp2
Q9UJX0	9606	OSGIN1 OKL38
Q9Y236	9606	OSGIN2 C8orf1
Q99952	9606	PTPN18 BDP1
Q6PEB4	10090	Osgepl1
Q99650	9606	OSMR OSMRB
O70458	10090	Osmr Osmrb
Q65Z14	10116	Osmr Osmrb
Q16825	9606	PTPN21 PTPD1
Q8TAX0	9606	OSR1 ODD
P29352	10090	Ptpn22 Ptpn8
O88902	10116	Ptpn23
Q8N2R0	9606	OSR2
Q91ZD1	10090	Osr2
P0C6T2	9606	OST4
Q99LX8	10090	Ost4
B0BLS0	10116	Ost4
P29074	9606	PTPN4
P54829	9606	PTPN5
Q80WK2	10090	Slc51b Ostb
Q641Y0	10116	Ddost
P81718	10116	Ptpn6 Ptph6
P35236	9606	PTPN7
Q8BUM3	10090	Ptpn7
P43378	9606	PTPN9
O35239	10090	Ptpn9
Q641Z2	10116	Ptpn9
P02818	9606	BGLAP
Q9NRP0	9606	OSTC DC2 HDCMD45P HSPC307
P63089	10090	Ptn
Q92882	9606	OSTF1
Q62422	10090	Ostf1 Sh3d3 Sh3p2
Q6P686	10116	Ostf1
Q86WC4	9606	OSTM1 GL HSPC019 UNQ6098/PRO21201
Q8BGT0	10090	Ostm1 Gl
P61364	10090	Ostn
P10451	9606	SPP1 BNSP OPN PSEC0156
P10923	10090	Spp1 Eta-1 Op Spp-1
P54615	10090	Bglap3 Bglap-rs1
Q15257	9606	PTPA PPP2R4
B2RU80	10090	Ptprb
P11725	10090	Otc
A2A8L5	10090	Ptprf Lar
P23470	9606	PTPRG PTPG
Q12913	9606	PTPRJ DEP1
P35822	10090	Ptprk Ptpk
P28828	10090	Ptprm Kiaa4044
Q9HC10	9606	OTOF FER1L2
F7A4A7	10090	Otogl
O55225	10090	Otog Otgn
Q15256	9606	PTPRR ECPTP PTPRQ
Q80VM9	10090	Otop1
Q7M734	10116	Otop1
Q13332	9606	PTPRS
Q9NRC9	9606	OTOR FDP MIAL UNQ3054/PRO9873
Q9JIE3	10090	Otor Mial
Q5XKR4	9606	OTP
O09113	10090	Otp
Q8CB27	10090	Yod1
P70289	10090	Ptprv Esp
Q7L8S5	9606	OTUD6A DUBA2
P23471	9606	PTPRZ1 HTPZP2 PTPRZ PTPRZ2 PTPZ
Q8N6M0	9606	OTUD6B DUBA5 CGI-77
Q03393	9606	PTS
Q96FW1	9606	OTUB1 OTB1 OTU1 HSPC263
P27213	10116	Pts
O43613	9606	HCRTR1
Q62010	10090	Ovgp1 Chit5 Ogp
Q9CUB6	10090	Otud1
Q5T2D3	9606	OTUD3 KIAA0459
Q01804	9606	OTUD4 HIN-1 KIAA1046
B2RRE7	10090	Otud4 Kiaa1046
