Entry	Taxonomic lineage IDs	Gene names
Q92496	9606	CFHR4 CFHL4 FHR4
Q9BXR6	9606	CFHR5 CFHL5 FHR5
Q9Y543	9606	HES2 BHLHB40
Q6PIW4	9606	FIGNL1
P36364	10116	Fgf9 Fgf-9
Q5TA89	9606	HES5 BHLHB38
Q13642	9606	FHL1 SLIM1
P97447	10090	Fhl1
Q8BKT2	10090	Hes7
P02751	9606	FN1 FN
Q96SL8	9606	FIZ1 ZNF798
A5D6W6	9606	FITM1 FIT1
Q8N6M3	9606	FITM2 C20orf142 FIT2
P59024	10090	Fkbp14
Q5T1M5	9606	FKBP15 KIAA0674
Q64378	10090	Fkbp5 Fkbp51
O54998	10090	Fkbp7 Fkbp23
O35465	10090	Fkbp8 Fkbp38 Sam11
Q3B7U9	10116	Fkbp8
O95302	9606	FKBP9 FKBP60 FKBP63
P45878	10090	Fkbp2 Fkbp13
Q00688	9606	FKBP3 FKBP25
B3EWG6	9606	FAM25G
Q00342	10090	Flt3 Flk-2 Flt-3
P97501	10090	Fmo3
P35922	10090	Fmr1 Fmr-1
Q9UPI3	9606	FLVCR2 C14orf58
Q9D2H8	10090	Fndc8
Q9ER35	10090	Fn3k
Q04631	10116	Fnta
F2Z333	9606	FNDC10 C1orf233
Q8K2I1	10090	Fntb
Q02293	10116	Fntb
A2AKG8	10090	Focad Kiaa1797
P14207	9606	FOLR2
P41439	9606	FOLR3
Q9QZ59	10090	Dmrt1
Q9JI44	10090	Dmap1 Mmtr
O55188	10090	Dmp1 Dmp
Q8BG36	10090	Dmrt2
Q96SC8	9606	DMRTA2 DMRT5
Q14565	9606	DMC1 DMC1H LIM15
P11532	9606	DMD
Q5XIL8	10116	Dnai1
Q9QZH0	10116	Fzd4
Q8TD57	9606	DNAH3 DNAHC3B
Q8TE73	9606	DNAH5 DNAHC5 HL1 KIAA1603
P63170	10116	Dynll1 Dncl1 Dnclc1 Pin
Q14204	9606	DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325
P38650	10116	Dync1h1 Dhc1 Dnch1 Dnchc1 Dnec1 Dyhc Map1c
Q9Y463	9606	DYRK1B MIRK
Q9JJ79	10116	Dync2h1 Dhc1b Dlp4 Dnch2 Dnchc2
Q0VDD8	9606	DNAH14 C1orf67
Q92630	9606	DYRK2
Q922Y0	10090	Dyrk3
Q4V8A3	10116	Dyrk3
Q9NR20	9606	DYRK4
Q8BI55	10090	Dyrk4
P21575	10116	Dnm1 Dnm
P62879	9606	GNB2
P62880	10090	Gnb2
P54313	10116	Gnb2
P39054	10090	Dnm2 Dyn2
Q62894	10116	Ecm1
P50395	9606	GDI2 RABGDIB
P11161	9606	EGR2 KROX20
Q6P9U8	10116	Eif3h Eif3s3
Q641X8	10116	Eif3e Eif3s6 Int6
Q13347	9606	EIF3I EIF3S2 TRIP1
O75822	9606	EIF3J EIF3S1 PRO0391
Q61211	10090	Eif2d Lgtn
Q96BJ8	9606	ELMO3
Q4V7E1	10116	Elf3
Q99607	9606	ELF4 ELFR MEF
Q9D4V0	10090	Etnk1 Eki1
D3ZRW8	10116	Etnk2
O00472	9606	ELL2
Q9HB65	9606	ELL3
Q9GZR5	9606	ELOVL4
O08856	10090	Ell
Q9CZX0	10090	Elp3
Q8N336	9606	ELMOD1
P62869	10090	Elob Tceb2
Q8BGF6	10090	Elmod2
P83941	10116	Eloc Tceb1
O95834	9606	EML2 EMAP2 EMAPL2
B2RYG8	10116	Elp6 Tmem103
P21995	10090	Emb Gp70
Q5T6L9	9606	ERMARD C6orf70
Q3B8R1	10116	Ermard
O94868	9606	FCHSD2 KIAA0769 SH3MD3
P08637	9606	FCGR3A CD16A FCG3 FCGR3 IGFR3
Q15485	9606	FCN2 FCNL
Q9UK99	9606	FBXO3 FBX3
P57756	10116	Fcn2 Fcnb
Q8WWV6	9606	FCAMR FKSG87
Q63203	10116	Fcgr2 Fcgr2b
P06734	9606	FCER2 CD23A CLEC4J FCE2 IGEBF
Q66H04	10116	Fbxo43 Emi2
Q5U2X1	10116	Fbxo9
Q9UKT7	9606	FBXL3 FBL3A FBXL3A
Q8C2S5	10090	Fbxl5
Q923Z4	10090	Ferd3l Nato Ntwist
Q02790	9606	FKBP4 FKBP52
P30416	10090	Fkbp4 Fkpb52
Q6P9Q6	10090	Fkbp15 Fkbp133 Kiaa0674
D3ZQF4	10116	Fkbp6 As Fkbp36
Q9Y680	9606	FKBP7 FKBP23 UNQ670/PRO1304
Q8R507	10090	Fktn Fcmd
Q7Z7B0	9606	FILIP1 KIAA1275
Q8K4T4	10116	Filip1
Q9Z1E1	10116	Flot1 Reg2
Q8BLU0	10090	Flrt2 Kiaa0405
Q9NZ56	9606	FMN2
Q8K4B7	10116	Fmo4
Q96PY5	9606	FMNL2 FHOD2 KIAA1902
P49326	9606	FMO5
Q6ZPF4	10090	Fmnl3 Frl2 Kiaa2014
Q6P8X9	10090	Cfap126 Fltp
B2RXV4	10090	Flvcr1 Mfsd7b
Q9HBA9	9606	FOLH1B PSMAL GIG26
A2AED3	10090	Fndc7
Q8TBE3	9606	FNDC9 C5orf40
Q8BJN4	10090	Fndc9
Q68FD7	10090	Fnip1 Kiaa1961
Q8N3X1	9606	FNBP4 FBP30 KIAA1014
Q8IX07	9606	ZFPM1 FOG1 ZFN89A
P35846	10090	Folr1 Fbp1 Folbp1
Q61572	10090	Foxc1 Fkh1 Fkhl7 Freac3 Mf1
P12841	10116	Fos
O60548	9606	FOXD2 FKHL17 FREAC9
P05369	10116	Fdps
Q12952	9606	FOXL1 FKHL11 FREAC7
A9Z1Z3	9606	FER1L4 C20orf124
A0AVI2	9606	FER1L5
Q2WGJ9	9606	FER1L6 C8orfK23
Q66JX5	10090	Fgfr1op
Q9BZ68	9606	FRMD8P1 FKSG43
Q80T14	10090	Fras1 Kiaa1500
Q6PIV2	9606	FOXR1 FOXN5 DLNB13
P97691	10116	Foxm1 Win
O15353	9606	FOXN1 RONU WHN
Q5U2R3	10116	Frmd8
Q8C180	10090	Frs2 Frs2a
Q96NZ1	9606	FOXN4
O95073	9606	FSBP
Q14CM0	9606	FRMPD4 KIAA0316 PDZD10 PDZK10
Q9P0K9	9606	FRRS1L C9orf4
Q6P5H6	10090	Frmd5
