Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 8 -7.412276 0.0 -37.7736 8.05994 -11.3016 225.358 -1887.31 223.24 -1880.41 0.0 223.24 -1880.41 42.5234 -37.7736 -1652.4203 30.2357 30.2357
4 9 -7.037673 0.0 -28.9838 8.14069 -11.2377 225.358 -1887.31 223.203 -1887.63 0.0 223.203 -1887.63 42.5319 -28.9838 -1650.8789 32.5801 32.5801
4 10 -7.1561985 0.0 -35.17 7.73659 -11.328 225.358 -1887.31 223.928 -1881.84 0.0 223.928 -1881.84 48.4162 -35.17 -1644.6658 40.7123 40.7123
5 0 -7.8568597 0.0 -39.567 7.6001 -11.8581 225.358 -1887.31 224.036 -1887.4 0.0 224.036 -1887.4 27.966 -39.567 -1674.965 12.5671 12.5671
5 1 -7.8568597 0.0 -39.567 7.6001 -11.8581 225.358 -1887.31 224.036 -1887.4 0.0 224.036 -1887.4 27.966 -39.567 -1674.965 12.5671 12.5671
5 2 -7.8568597 0.0 -39.567 7.6001 -11.8581 225.358 -1887.31 224.036 -1887.4 0.0 224.036 -1887.4 27.966 -39.567 -1674.965 12.5671 12.5671
5 3 -7.8568597 0.0 -39.567 7.6001 -11.8581 225.358 -1887.31 224.036 -1887.4 0.0 224.036 -1887.4 27.966 -39.567 -1674.965 12.5671 12.5671
5 4 -7.856822 0.0 -39.6939 7.5952 -11.8841 225.358 -1887.31 224.051 -1887.26 0.0 224.051 -1887.26 27.9549 -39.6939 -1674.948 12.4759 12.4759
5 5 -7.856822 0.0 -39.6939 7.5952 -11.8841 225.358 -1887.31 224.051 -1887.26 0.0 224.051 -1887.26 27.9549 -39.6939 -1674.948 12.4759 12.4759
5 6 -7.8303294 0.0 -39.0409 7.60327 -11.8523 225.358 -1887.31 223.959 -1887.65 0.0 223.959 -1887.65 27.9514 -39.0409 -1674.7805 12.6401 12.6401
5 7 -7.8303294 0.0 -39.0409 7.60327 -11.8523 225.358 -1887.31 223.959 -1887.65 0.0 223.959 -1887.65 27.9514 -39.0409 -1674.7805 12.6401 12.6401
6 0 -7.512923 0.0 -32.5541 7.23385 -12.8531 225.358 -1887.31 223.718 -1893.69 0.0 223.718 -1893.69 28.7746 -32.5541 -1673.7515 13.9134 13.9134
7 0 -7.9568353 0.0 -44.8372 7.61587 -11.6 225.358 -1887.31 223.496 -1879.77 0.0 223.496 -1879.77 28.6686 -44.8372 -1672.4426 11.6401 11.6401
7 1 -7.755782 0.0 -42.6788 7.33769 -11.7529 225.358 -1887.31 223.571 -1880.52 0.0 223.571 -1880.52 27.565 -42.6788 -1672.0627 12.0798 12.0798
7 2 -7.3881755 0.0 -35.5074 7.2161 -12.492 225.358 -1887.31 223.535 -1886.47 0.0 223.535 -1886.47 28.1623 -35.5074 -1670.28 14.6064 14.6064
7 3 -7.3442483 0.0 -35.5605 7.25794 -12.4473 225.358 -1887.31 224.065 -1886.38 0.0 224.065 -1886.38 28.2259 -35.5605 -1669.6497 15.2592 15.2592
7 4 -7.3347006 0.0 -35.3633 7.26502 -12.4379 225.358 -1887.31 224.066 -1886.51 0.0 224.066 -1886.51 28.2405 -35.3633 -1669.5668 15.3677 15.3677
7 5 -7.154297 0.0 -34.0178 7.19886 -11.4902 225.358 -1887.31 223.68 -1884.2 0.0 223.68 -1884.2 27.0219 -34.0178 -1667.5159 16.1887 16.1887
7 6 -7.1487846 0.0 -33.9862 7.19657 -11.4694 225.358 -1887.31 223.692 -1884.16 0.0 223.692 -1884.16 26.9961 -33.9862 -1667.4581 16.2908 16.2908
7 7 -7.224526 0.0 -36.6365 7.3698 -11.8504 225.358 -1887.31 223.961 -1881.83 0.0 223.961 -1881.83 27.7359 -36.6365 -1666.7695 14.36 14.36
7 8 -7.224526 0.0 -36.6365 7.3698 -11.8504 225.358 -1887.31 223.961 -1881.83 0.0 223.961 -1881.83 27.7359 -36.6365 -1666.7695 14.36 14.36
7 9 -7.2365975 0.0 -37.3119 7.36755 -11.8376 225.358 -1887.31 224.062 -1881.13 0.0 224.062 -1881.13 27.6796 -37.3119 -1666.7003 14.3287 14.3287
7 10 -7.2365975 0.0 -37.3119 7.36755 -11.8376 225.358 -1887.31 224.062 -1881.13 0.0 224.062 -1881.13 27.6796 -37.3119 -1666.7003 14.3287 14.3287
7 11 -7.238018 0.0 -37.6357 7.3661 -11.8199 225.358 -1887.31 224.122 -1880.73 0.0 224.122 -1880.73 27.5802 -37.6357 -1666.6636 14.3378 14.3378
7 12 -7.238018 0.0 -37.6357 7.3661 -11.8199 225.358 -1887.31 224.122 -1880.73 0.0 224.122 -1880.73 27.5802 -37.6357 -1666.6636 14.3378 14.3378
