From src:'1'	To src:'3'
CHEMBL2443239	21A
CHEMBL344340	KOP
CHEMBL2312703	RRH
CHEMBL406105	ZZA
CHEMBL2047898	0GT
CHEMBL3775060	VQI
CHEMBL311074	1PK
CHEMBL107498	DKA
CHEMBL1233477	HZP
CHEMBL31962	BUB
CHEMBL3759276	55D
CHEMBL502946	031
CHEMBL541209	09C
CHEMBL3309981	6LV
CHEMBL3623004	KE9
CHEMBL605003	K88
CHEMBL122334	HYN
CHEMBL1738702	05B
CHEMBL13218	C2B
CHEMBL266349	MEL
CHEMBL169233	FZ4
CHEMBL1817686	G89
CHEMBL2179275	13Y
CHEMBL3353992	9S3
CHEMBL3775440	4CN
CHEMBL3291398	62B
CHEMBL174391	4PN
CHEMBL6291	DRN
CHEMBL556663	1U2
CHEMBL1346213	1T4
CHEMBL3099755	2KD
CHEMBL324455	ST1
CHEMBL241577	393
CHEMBL2386796	729
CHEMBL2325183	KTD
CHEMBL3427434	CTW
CHEMBL930	GLN
CHEMBL2170522	0HX
CHEMBL1236003	SON
CHEMBL3736584	M94
CHEMBL177275	357
CHEMBL130998	NMB
CHEMBL309339	SHA
CHEMBL1232048	D1H
CHEMBL12712	02R
CHEMBL2338001	0WT
CHEMBL321029	JZ1
CHEMBL65543	3NF
CHEMBL395336	35G
CHEMBL395336	PCG
CHEMBL2377831	09Z
CHEMBL2059907	7L0
CHEMBL257553	7X4
CHEMBL258994	749
CHEMBL3699142	5U5
CHEMBL116427	M91
CHEMBL3235132	2B8
CHEMBL253519	TT1
CHEMBL3327064	2RU
CHEMBL1236872	XYA
CHEMBL2417904	1NJ
CHEMBL514137	NUP
CHEMBL92361	IQA
CHEMBL464853	T94
CHEMBL325414	TP3
CHEMBL194176	AAZ
CHEMBL361348	CT9
CHEMBL408150	P39
CHEMBL126589	172
CHEMBL3804838	TZM
CHEMBL6784	S2O
CHEMBL3634122	52K
CHEMBL3547100	EG8
CHEMBL1236347	TNR
CHEMBL85799	AE2
CHEMBL406821	H52
CHEMBL31344	CLI
CHEMBL467987	ECS
CHEMBL44	GEN
CHEMBL3590115	CQ8
CHEMBL3622894	4Y1
CHEMBL1231248	BCG
CHEMBL515515	I1P
CHEMBL1196544	QN1
CHEMBL865	COX
CHEMBL3596389	GTI
CHEMBL3260347	20R
CHEMBL3956096	70C
CHEMBL451503	MC3
CHEMBL1581299	MVN
CHEMBL3319208	2W1
CHEMBL3414689	6W2
CHEMBL3422469	3J0
CHEMBL3819252	4RL
CHEMBL3586444	4RV
CHEMBL1314652	3YM
CHEMBL1234557	MYS
CHEMBL182	GA2
CHEMBL1077458	3O4
CHEMBL2178304	68O
CHEMBL107400	B72
CHEMBL3338195	Y50
CHEMBL122270	L0B
CHEMBL55483	W8R
CHEMBL2030561	B6A
CHEMBL499	TIM
CHEMBL196585	27N
CHEMBL276815	AMQ
CHEMBL2010997	E49
CHEMBL2178806	15V
CHEMBL3884960	6H4
CHEMBL48608	907
CHEMBL1076637	DTY
CHEMBL2311069	0QA
CHEMBL3144338	UMC
CHEMBL567562	B59
CHEMBL565861	1RC
CHEMBL277497	1IT
CHEMBL477014	YAK
CHEMBL564932	JZB
CHEMBL223026	KN2
CHEMBL504805	C52
CHEMBL203836	201
CHEMBL419499	TI3
CHEMBL291544	93Q
CHEMBL474678	L1C
CHEMBL1197637	EWV
CHEMBL335538	DTP
CHEMBL3727843	7FE
CHEMBL47386	EGT
CHEMBL125181	MIN
CHEMBL575256	BMB
CHEMBL3983798	D6I
CHEMBL923	RIS
CHEMBL8450	3M5
CHEMBL1289494	AV9
CHEMBL189558	YTT
CHEMBL1951296	2CD
CHEMBL280311	BZ3
CHEMBL1232738	FHI
CHEMBL1234552	MY9
CHEMBL3770949	5V2
CHEMBL3770949	XZB
CHEMBL1160556	7DT
CHEMBL1231969	CTD
CHEMBL629	TP0
CHEMBL597477	OCZ
CHEMBL569241	8WT
CHEMBL176687	AUD
CHEMBL561360	NN3
CHEMBL207225	IOP
CHEMBL1822156	AV6
CHEMBL297053	AYM
CHEMBL519504	RO7
CHEMBL2325752	SV2
CHEMBL2251820	2E7
CHEMBL112687	TYZ
CHEMBL1086580	XAV
CHEMBL535	B49
CHEMBL1342833	WDU
CHEMBL199181	DA3
CHEMBL2381246	1AO
CHEMBL3941909	4RM
CHEMBL219841	19A
CHEMBL502835	XIN
CHEMBL1738791	DW0
CHEMBL247378	7NI
CHEMBL2146887	2P7
CHEMBL1160523	FIP
CHEMBL1836848	58V
CHEMBL1650617	G5V
CHEMBL561499	M7O
CHEMBL234567	KGY
CHEMBL3787231	21Q
CHEMBL1231606	C4F
CHEMBL3590184	GS9
CHEMBL1213041	5PW
CHEMBL14145	231
CHEMBL14145	PIM
CHEMBL482193	NNN
CHEMBL1672002	IMW
CHEMBL261886	NIS
CHEMBL237370	GB4
CHEMBL2165191	A82
CHEMBL3764580	72E
CHEMBL2024087	SW4
CHEMBL3921982	DP8
CHEMBL600441	VGM
CHEMBL1230745	A7T
CHEMBL34259	MTX
CHEMBL2376572	1JG
CHEMBL333448	JZF
CHEMBL1082237	OFI
CHEMBL18797	SFI
CHEMBL3978291	6PT
CHEMBL1459580	GC8
CHEMBL3087052	435
CHEMBL219158	MR9
CHEMBL2333346	FBJ
CHEMBL374078	GNI
CHEMBL57	NVP
CHEMBL240714	OHP
CHEMBL3128050	2OQ
CHEMBL3233201	YH1
CHEMBL1185242	317
CHEMBL1231082	ATJ
CHEMBL297273	PSB
CHEMBL1232415	DXR
CHEMBL477312	XCX
CHEMBL30059	FTI
CHEMBL3581508	3VR
CHEMBL497834	HCR
CHEMBL70	MOI
CHEMBL1213120	DLN
CHEMBL1160817	6HT
CHEMBL428260	JPL
CHEMBL472620	N61
CHEMBL3934661	6DZ
CHEMBL480613	G9F
CHEMBL1096136	C3B
CHEMBL2332144	4P0
CHEMBL578530	9CC
CHEMBL3407862	3Z5
CHEMBL538937	ZZ2
CHEMBL132767	K1S
CHEMBL293498	TB9
CHEMBL25	AIN
CHEMBL1233765	JRS
CHEMBL223824	DMQ
CHEMBL3747183	0KB
CHEMBL1236822	XM1
CHEMBL428581	GFN
CHEMBL99732	3C1
CHEMBL538118	NIA
CHEMBL3318932	2XF
CHEMBL110674	AP1
CHEMBL1164065	CNU
CHEMBL3986523	4V7
CHEMBL3344085	3JS
CHEMBL3747842	11H
CHEMBL451855	SAE
CHEMBL1230165	3NG
CHEMBL218289	U1N
CHEMBL3798254	5S5
CHEMBL1084081	C9P
CHEMBL3545308	8JC
CHEMBL526	PFL
CHEMBL1233461	HXX
CHEMBL1236060	SSR
CHEMBL1928172	6QJ
CHEMBL263379	BK9
CHEMBL233149	C85
CHEMBL3590388	78J
CHEMBL454801	U10
CHEMBL2385512	1EA
CHEMBL107518	JO4
CHEMBL237347	6GE
CHEMBL406572	311
CHEMBL2375371	1O3
CHEMBL3298182	2YO
CHEMBL283639	W71
